ID_PERSONA,ID_PERSONA_NIP_NK,DOCUMENTO_IDENTIDAD,APELLIDO1,APELLIDO2,NOMBRE,APELLIDOS_NOMBRE,ID_OFUSCADO,SEXO,ID_PAIS_NACIONALIDAD_NK,EMAIL,FECHA_NACIMIENTO_TXT,ANYO_NACIMIENTO
1,41361818,66676008C,Montes,Gálvez,María Teresa,"Montes Gálvez, María Teresa",d32528e116420a846ce5c999bb1339fc,M,FIN,sarita28@example.org,15/07/1982,1982
2,97077009,35058300K,Llopis,Barrera,Marcelo,"Llopis Barrera, Marcelo",0a28191f2b207bed78382432ef7f5107,M,BRA,eugeniaroldan@example.net,13/02/1988,1988
3,2921981,33542168A,Ocaña,Piquer,Asdrubal,"Ocaña Piquer, Asdrubal",2f63ece46ae0dd792f46e6771d740248,H,HND,josefina66@example.org,19/10/1974,1974
4,53143336,94210447D,Espejo,Sáenz,Renato,"Espejo Sáenz, Renato",5eb2ddbceaa4ada1c71b81b868beca85,M,NZL,reinagomis@example.com,17/07/2002,2002
5,34152669,89856257H,Sierra,Barco,Ernesto,"Sierra Barco, Ernesto",f5adbfd053b9827164cae1ec25ba2ba6,H,DEU,jriera@example.net,08/07/1963,1963
6,404729,53260332Z,Herrero,Jara,Román,"Herrero Jara, Román",6984a5cae5f1f18799b0ce286a6b4c2b,H,MNG,nataliobermudez@example.com,24/08/1979,1979
7,29246218,30982150T,Farré,Aznar,Cirino,"Farré Aznar, Cirino",483b429e4e2608f36f0828edc5dfe616,M,TGO,rene99@example.org,07/05/1959,1959
8,77619624,64890901N,Gaya,Tello,Godofredo,"Gaya Tello, Godofredo",bf92d4d8fd2718ac4677d363103bf01e,H,GTM,ruthmendez@example.com,09/06/1955,1955
9,9801857,00167618V,Falcón,Carpio,Héctor,"Falcón Carpio, Héctor",fadc24cbf0b571a0b3e6e51caa936565,M,NAM,sherrera@example.net,14/04/2002,2002
10,6078694,47230461F,Puente,Heras,Hernando,"Puente Heras, Hernando",276335e4397ca59c38b90c25f20c1a7f,H,TZA,maura46@example.com,15/09/1990,1990
11,56867700,84992618M,Palomar,Mendez,Florencia,"Palomar Mendez, Florencia",33f8170fbeacdccd8d89ed1c1afd46c3,H,ITA,placido87@example.com,06/02/1961,1961
12,46241881,91411739X,Soria,Montero,Nieves,"Soria Montero, Nieves",ade581900964b8a289c73fa52051fcde,M,NER,raimundomilla@example.com,03/07/1957,1957
13,94004067,34835642A,Giralt,Coello,Chus,"Giralt Coello, Chus",fbe3e61e8fc26466dc3c564131091e14,H,GNQ,juliancarolina@example.net,20/10/1993,1993
14,8557710,08737530Z,Rios,Marquez,Lola,"Rios Marquez, Lola",b7a5d845a9084c4272e1adfbb8e4d725,H,VUT,gustavomurcia@example.org,28/03/1980,1980
15,72633735,01197218E,Hoyos,Valera,Clotilde,"Hoyos Valera, Clotilde",bc9447afc1d9beb0b9814a2952d5322a,M,SVN,jose-angel77@example.com,03/11/1965,1965
