ID_CURSO_ACADEMICO_NK,ID_CURSO_ACADEMICO,ID_EXPEDIENTE_EST_PROPIO_NK,ID_EXPEDIENTE_EST_PROPIO,ID_PERSONA_NIP_NK,ID_PERSONA,ID_ESTUDIO_PROPIO_NK,ID_ESTUDIO_PROPIO_EDICION_NK,ID_ESTUDIO_PROPIO,ID_ESTUDIO_PROPIO_TIPO_NK,ID_ESTUDIO_PROPIO_TIPO,ID_ESTUDIO_PROPIO_MODALIDAD_NK,ID_ESTUDIO_PROPIO_MODALIDAD,TOTAL_CREDITOS_EP,NUMERO_CURSOS_EP,ID_CENTRO_DEPT_GESTION_EP_NK,ID_CENTRO_DEPT_GESTION_EP,ID_RAMA_CONOCIMIENTO_EP_NK,ID_RAMA_ESTUDIO_PROPIO,ANO_ACAD_APERTURA,CREDITOS_MATRICULADOS,FECHA_MATRICULA,ID_FECHA_MATRICULA,FLG_NUEVO_INGRESO,SN_NUEVO_INGRESO,FLG_ESTUDIANTE_INTERNACIONAL,SN_ESTUDIANTE_INTERNACIONAL,ID_PAIS_NACIONALIDAD,ID_PAIS_NACIONALIDAD_NK,DOCUMENTO_IDENTIDAD,FECHA_NACIMIENTO,ID_PAIS_PROCEDENCIA,ID_PAIS_PROCEDENCIA_NK,ID_POBLACION_FAMILIAR,COD_POSTAL_FAMILIAR,ID_POBLACION_CURSO,ID_PAIS_CURSO,COD_POSTAL_CURSO,SEXO,ID_SEXO,EDAD,FECHA_CARGA,ID_FECHA_CARGA,ID_ORGANO_PROPONENTE_EP_NK,ID_ORGANO_PROPONENTE_EP,EDAD_EST,ID_EDAD_EST
2023,20230,30001,30001,29641883,35,400,4,4,EP01,1,MOD01,1,30,3,2300,23,3,5,2021,19.3,2025-02-04 18:13:48.785607,20250204,1,S,1,S,51,AND,54615679V,1992-06-07 18:13:48.785607,48,ATG,304,18703,214,35,12696,H,1,33,2025-06-03 18:13:48.785607,20250603,OG003,3,NC,9
2018,20180,30002,30002,94429826,27,2600,9,26,EP01,1,MOD01,1,45,4,3800,38,4,3,2013,42.9,2024-07-04 18:13:48.795609,20240704,0,N,1,S,99,KWT,36937854S,1970-11-21 18:13:48.795609,85,NER,76,27744,231,34,09160,M,2,54,2025-06-03 18:13:48.795609,20250603,OG008,8,51-65,7
2019,20190,30003,30003,35105069,13,500,3,5,EP03,3,MOD03,3,112,3,4900,49,4,5,2018,78.8,2025-01-01 18:13:48.805609,20250101,1,S,1,S,30,HND,95342836Q,1977-08-25 18:13:48.806607,28,KAZ,95,36786,117,8,42702,M,2,47,2025-06-03 18:13:48.806607,20250603,OG006,6,19-21,2
2019,20190,30004,30004,61066203,40,200,6,2,EP03,3,MOD05,5,97,2,3200,32,5,3,2016,38.1,2025-03-08 18:13:48.817610,20250308,1,S,1,S,65,KOR,02503926P,1963-06-08 18:13:48.817610,11,GIN,457,06830,387,89,06088,M,2,62,2025-06-03 18:13:48.817610,20250603,OG008,8,22-25,3
2011,20110,30005,30005,91307681,74,1700,6,17,EP05,5,MOD03,3,48,1,4100,41,1,2,2009,12.8,2025-03-01 18:13:48.827607,20250301,0,N,1,S,22,FIN,19182553R,2003-04-19 18:13:48.827607,89,KEN,135,34252,12,8,39674,M,2,22,2025-06-03 18:13:48.827607,20250603,OG002,2,>65,8
2012,20120,30006,30006,76866717,66,2100,9,21,EP03,3,MOD02,2,41,1,4800,48,2,5,2008,22.1,2025-01-04 18:13:48.836624,20250104,0,N,1,S,95,NLD,37567982N,1957-12-02 18:13:48.836624,41,MOZ,217,37024,200,8,49830,M,2,67,2025-06-03 18:13:48.836624,20250603,OG004,4,>65,8
2015,20150,30007,30007,97077009,94,1800,8,18,EP04,4,MOD04,4,49,3,1500,15,1,3,2011,24.6,2025-05-31 18:13:48.845624,20250531,0,N,1,S,48,ATG,84577590N,1979-04-08 18:13:48.845624,42,SWE,30,30291,347,58,06472,M,2,46,2025-06-03 18:13:48.845624,20250603,OG007,7,26-30,4
2014,20140,30008,30008,68886959,85,100,10,1,EP01,1,MOD05,5,71,4,1200,12,2,1,2012,35.7,2024-09-08 18:13:48.854624,20240908,1,S,1,S,94,UGA,78819148B,1978-04-01 18:13:48.854624,76,COM,85,52421,38,8,50451,H,1,47,2025-06-03 18:13:48.854624,20250603,OG005,5,41-50,6
2015,20150,30009,30009,63193474,46,200,6,2,EP05,5,MOD05,5,118,1,4700,47,3,5,2013,67.6,2024-09-08 18:13:48.863627,20240908,1,S,1,S,69,TZA,31142626M,1963-06-30 18:13:48.863627,20,TGO,90,15968,486,5,05829,H,1,61,2025-06-03 18:13:48.863627,20250603,OG002,2,16-18,1
2015,20150,30010,30010,55757342,86,3000,5,30,EP05,5,MOD02,2,82,3,4800,48,4,3,2012,61.0,2025-05-11 18:13:48.872616,20250511,0,N,1,S,19,CMR,58078361A,1996-01-12 18:13:48.872616,65,KOR,360,51641,443,34,07864,H,1,29,2025-06-03 18:13:48.872616,20250603,OG001,1,31-40,5
2012,20120,30011,30011,55757342,86,2900,10,29,EP03,3,MOD03,3,40,1,600,6,3,2,2011,12.0,2024-07-07 18:13:48.881203,20240707,0,N,1,S,91,QAT,58078361A,1987-01-15 18:13:48.881765,56,LIE,332,50723,390,18,52096,H,1,38,2025-06-03 18:13:48.881765,20250603,OG007,7,16-18,1
2022,20220,30012,30012,27568520,75,800,2,8,EP06,6,MOD01,1,58,4,3100,31,5,3,2020,16.8,2024-09-20 18:13:48.890753,20240920,0,N,1,S,25,PHL,71478596R,2000-09-07 18:13:48.890753,35,IRQ,339,21004,174,8,16932,M,2,24,2025-06-03 18:13:48.890753,20250603,OG006,6,22-25,3
2016,20160,30013,30013,40526484,8,1200,7,12,EP04,4,MOD02,2,42,1,2300,23,1,5,2014,33.9,2024-06-25 18:13:48.899743,20240625,0,N,1,S,83,BEL,86863375B,1968-06-19 18:13:48.899743,96,SVK,125,25290,18,8,40825,M,2,56,2025-06-03 18:13:48.899743,20250603,OG001,1,51-65,7
2023,20230,30014,30014,82493631,34,1900,7,19,EP01,1,MOD01,1,118,4,900,9,1,3,2019,46.5,2025-01-23 18:13:48.908752,20250123,0,N,1,S,10,VCT,18233984K,1971-03-08 18:13:48.908752,62,DMA,363,20008,205,8,10648,M,2,54,2025-06-03 18:13:48.908752,20250603,OG002,2,41-50,6
2017,20170,30015,30015,55813853,43,2600,9,26,EP02,2,MOD03,3,51,3,3000,30,4,4,2012,47.1,2024-10-11 18:13:48.918743,20241011,0,N,1,S,95,NLD,63159996H,1977-04-07 18:13:48.918743,87,MWI,477,39335,413,21,19506,M,2,48,2025-06-03 18:13:48.918743,20250603,OG003,3,16-18,1
2016,20160,30016,30016,50147077,42,2800,9,28,EP05,5,MOD01,1,68,3,2400,24,2,3,2013,60.8,2025-02-19 18:13:48.926753,20250219,1,S,1,S,26,MNG,56218501S,1957-10-30 18:13:48.927743,73,GHA,262,35152,57,8,43733,H,1,67,2025-06-03 18:13:48.927743,20250603,OG006,6,NC,9
2014,20140,30017,30017,62464258,21,1000,8,10,EP06,6,MOD02,2,87,4,500,5,4,3,2011,71.6,2024-08-17 18:13:48.935753,20240817,0,N,1,S,29,ZWE,73540331Q,2001-03-05 18:13:48.935753,95,NLD,444,31312,314,30,05861,H,1,24,2025-06-03 18:13:48.935753,20250603,OG008,8,NC,9
2012,20120,30018,30018,15867870,20,2800,9,28,EP04,4,MOD04,4,106,3,900,9,1,5,2011,65.2,2025-02-02 18:13:48.945743,20250202,0,N,1,S,49,BIH,99013983H,1981-03-20 18:13:48.945743,61,CHN,182,24307,289,31,01693,M,2,44,2025-06-03 18:13:48.945743,20250603,OG005,5,51-65,7
2023,20230,30019,30019,63193474,46,2400,5,24,EP03,3,MOD04,4,76,3,1900,19,1,1,2019,25.0,2024-12-31 18:13:48.954752,20241231,0,N,1,S,54,MRT,31142626M,1984-07-17 18:13:48.954752,62,DMA,376,39448,344,55,04288,H,1,40,2025-06-03 18:13:48.954752,20250603,OG002,2,41-50,6
2022,20220,30020,30020,67845324,64,2500,4,25,EP05,5,MOD01,1,29,1,3200,32,5,4,2017,21.1,2025-04-22 18:13:48.963294,20250422,1,S,1,S,54,MRT,90965610N,1976-09-28 18:13:48.963294,57,MLI,122,23541,425,65,02489,H,1,48,2025-06-03 18:13:48.963294,20250603,OG004,4,31-40,5
