ID_CURSO_ACADEMICO,ID_PLAN_ESTUDIO,ID_TIPO_ESTUDIO,ID_CENTRO,ID_TIPO_ACCESO,ID_ESTUDIO_PREVIO,ID_CUPO_ADJUDICACION,PLAZAS_OFERTADAS,PLAZAS_ASIGNADAS,PLAZAS_SOLICITADAS,NOTA_AGREGADA,NOTA_CORTE_ADJUDICACION_1,NOTA_CORTE_ADJUDICACION_2,NOTA_CORTE_DEFINITIVA_1,NOTA_CORTE_DEFINITIVA_2,FLG_ADMITIDOS_TODOS_1,FLG_ADMITIDOS_TODOS_2,PARTICIPA_1,PARTICIPA_2,ID_CURSO_ACADEMICO_NK,FECHA_CARGA,NOTA_MEDIA_ADMISION,PRELA_CONVO_NOTA_DEF,PRELA_CONVO_NOTA_DEF_1,PRELA_CONVO_NOTA_DEF_2,NUM_CREDENCIAL_UNED,PLAZAS_SOLICITADAS_PREF_1,ID_FECHA_CARGA,ID_TIPO_CENTRO,ID_CAMPUS,ID_POBLACION_CENTRO,ID_ESTUDIO,ID_RAMA_CONOCIMIENTO,ORDEN_BOE_PLAN,SN_DOCTORADO_VIGENTE,ID_PERSONA_NIP_COORD_NK,CORREO_COORD,ID_PERSONA_COORD,FLG_INTERUNIVERSITARIO,FLG_COORDINADOR,FLG_MULTIPLE_TITULACION,FLG_MASTER_HAB,SN_MASTER_HABILITANTE,SN_MULTIPLE_TITULACION,SN_INTERUNIVERSITARIO,SN_COORDINADOR
20150,76,2,13,12,6,5,92,67,134,12.324,6.274,5.422,6.394,5.047,N,N,0,1,2015,2021-11-25,9.5,1,1,2,6,133,20211006,6,8,96,16,7,BOE-A-2022-3131,N,25297417,zaida.blazquez@universidad.es,64,1,0,0,0,N,N,S,N
20150,40,2,50,4,9,4,92,13,25,10.858,8.167,5.579,8.647,6.0,S,S,0,1,2015,2020-12-16,9.133,1,1,2,2,18,20200827,3,5,26,21,6,BOE-A-2020-2722,N,17849589,glauco.rosa@universidad.es,37,1,0,1,0,N,S,S,N
20180,73,7,32,13,6,6,90,50,98,7.906,6.257,6.083,5.987,5.798,N,N,0,1,2018,2023-12-31,10.156,1,1,2,4,69,20200330,2,6,105,1,7,BOE-A-2014-5488,N,41361818,maría teresa.montes@universidad.es,1,0,0,1,1,S,S,N,N
20240,76,6,5,5,4,4,168,34,43,11.107,7.122,5.662,7.557,5.296,S,S,1,0,2024,2021-08-09,9.343,2,2,1,4,39,20230818,1,10,306,3,3,BOE-A-2010-2255,N,77619624,godofredo.gaya@universidad.es,8,1,0,1,0,N,S,S,N
20230,29,8,25,10,3,3,166,163,225,9.639,11.005,9.665,11.114,10.152,N,N,1,1,2023,2021-06-14,5.196,1,1,2,26,170,20210801,2,8,204,1,2,BOE-A-2022-1994,N,52755436,ruy.márquez@universidad.es,43,1,0,1,0,N,S,S,N
20100,85,6,3,1,10,1,113,41,69,9.727,9.346,8.243,8.852,8.358,S,S,0,0,2010,2022-12-03,5.817,1,1,2,5,45,20230507,2,2,249,40,2,BOE-A-2021-5758,N,94393484,jordana.peinado@universidad.es,81,1,1,1,1,S,S,S,S
20210,83,10,34,3,9,5,30,28,42,12.212,9.969,7.063,10.254,7.332,N,N,1,0,2021,2022-12-30,12.226,1,1,2,0,32,20220827,7,10,121,30,7,BOE-A-2020-8194,N,41361818,maría teresa.montes@universidad.es,1,1,1,1,0,N,S,S,S
20230,84,2,25,6,9,3,178,62,121,6.395,8.617,5.078,8.768,5.066,S,S,0,0,2023,2021-12-25,8.466,1,1,2,5,72,20200314,2,8,52,1,4,BOE-A-2019-7607,N,34152669,ernesto.sierra@universidad.es,5,0,1,0,1,S,N,N,S
20230,84,3,50,9,1,2,61,20,33,10.46,11.301,7.783,10.976,8.24,S,S,1,0,2023,2021-01-11,9.473,2,2,1,4,25,20210327,3,5,39,7,6,BOE-A-2011-3088,N,94393484,jordana.peinado@universidad.es,81,0,1,1,0,N,S,N,S
20160,7,1,5,11,2,5,24,17,23,9.473,10.053,5.309,10.378,5.439,S,S,0,1,2016,2020-01-15,12.011,2,2,1,1,21,20220606,1,10,328,12,2,BOE-A-2011-1986,N,50418290,maría josé.puente@universidad.es,32,0,0,0,1,S,N,N,N
20210,7,1,38,15,10,1,138,39,59,5.239,10.65,5.471,10.844,5.808,S,S,0,0,2021,2021-09-15,11.83,2,2,1,0,55,20220117,5,5,35,41,10,BOE-A-2011-2860,N,67631755,valerio.ortega@universidad.es,93,1,0,1,0,N,S,S,N
20170,6,4,37,1,10,4,177,160,184,10.144,13.2,12.972,13.3,12.504,N,N,1,1,2017,2020-01-19,7.045,1,1,2,31,169,20220908,4,6,127,1,9,BOE-A-2015-7709,N,50905625,alonso.novoa@universidad.es,57,1,0,1,0,N,S,S,N
20210,31,6,39,2,3,4,67,29,58,9.021,11.69,7.368,11.955,7.551,S,S,0,1,2021,2021-11-13,13.335,1,1,2,5,56,20220121,1,3,172,27,4,BOE-A-2021-7909,N,98182614,leonel.blasco@universidad.es,96,1,1,1,0,N,S,S,S
20180,43,9,36,2,2,5,41,40,41,12.171,8.836,8.441,9.245,8.927,S,S,0,0,2018,2021-01-16,8.067,2,2,1,2,41,20211224,7,7,191,29,6,BOE-A-2022-1540,N,46460773,juliana.barros@universidad.es,61,1,0,0,1,S,N,S,N
