ID_PREINSCRIPCION,ID_CURSO_ACADEMICO,ID_CONVOCATORIA,ID_TIPO_ACCESO_PREINS,ID_TIPO_PROCEDIMIENTO,ID_ESTUDIO_PREVIO,ID_UNIVERSIDAD,ID_CUPO_ADJUDICACION,NOTA_ADMISION,ID_PLAN_ESTUDIO,ORDEN_PREFERENCIA,RESOLUCION_SOLICITUD,SN_ADMITIDO,ORDEN_ADJUDICACION,FECHA_PREINSCRIPCION,ID_PERSONA,FECHA_NACIMIENTO,ID_SEXO,SEXO,ID_POBLACION_NACIMIENTO,ID_PAIS_NACIMIENTO,ID_PAIS_NACIONALIDAD,EDAD,FECHA_CARGA,ID_CENTRO,ID_PAIS_UNIVERSIDAD_ORIGEN,RESOLUCION_LLAMAMIENTO,NUM_LLAMAMIENTO,RESOLUCION_FINAL,ID_ESTADO_ADJUDICACION,ID_CURSO_ACADEMICO_NK,ID_RANGO_NOTA_ADMISION,SN_MATRICULADO,SN_PARTICIPA_ADJUDICACION,ID_POBLACION_FAMILIAR,SN_CREDENCIAL_UNED,FLG_CREDENCIAL_UNED,NOTA_ACCESO,ID_FECHA_CARGA,ID_TIPO_CENTRO,ID_CAMPUS,ID_POBLACION_CENTRO,ID_TIPO_ESTUDIO,ID_ESTUDIO,ID_RAMA_CONOCIMIENTO,ID_DETALLE_CUPO_GENERAL,ID_DETALLE_CUPO_GENERAL_NK,ID_PAIS_FAMILIAR,ID_PAIS_FAMILIAR_NK,EDAD_EST,ID_EDAD_EST
100001,20110,3,9,5,6,99,6,7.58,24,4,P,N,,2011-03-31,95,1993-03-05,2,M,32,90,53,32,2022-04-25,29,54,P2,2,Resolución final para la solicitud 100001 del 2011-03-31,4,2011,1,S,S,432,S,1,8.91,20220501,3,3,148,4,34,13,5,DC05,46,MDV,Menor d...,1
100002,20180,4,7,2,2,46,2,12.88,63,7,A,S,5.0,2018-05-16,82,2004-05-26,2,M,148,50,22,21,2021-12-13,7,89,D1,1,Resolución final para la solicitud 100002 del 2018-05-16,7,2018,1,N,N,222,N,0,8.03,20200410,1,10,496,8,29,7,8,DC08,97,GAB,Menor d...,1
100003,20240,4,10,4,3,53,2,12.16,58,3,P,N,,2024-02-04,47,1969-08-20,2,M,331,73,52,56,2023-07-19,34,72,A1,1,Resolución final para la solicitud 100003 del 2024-02-04,5,2024,1,N,S,285,N,0,13.6,20220323,5,8,75,7,32,2,7,DC07,79,NAM,No consta,9
100004,20120,1,6,4,6,66,5,10.93,71,2,P,N,,2012-09-09,49,1967-04-23,1,H,243,36,85,58,2020-01-11,2,15,D2,2,Resolución final para la solicitud 100004 del 2012-09-09,2,2012,1,N,S,447,N,0,8.56,20200715,4,6,55,7,11,4,5,DC05,93,CHL,Joven,2
100005,20150,4,13,5,5,16,4,12.47,93,8,D,N,,2015-07-08,3,1966-04-23,1,H,5,47,72,59,2022-06-12,35,1,D1,1,Resolución final para la solicitud 100005 del 2015-07-08,4,2015,1,S,N,443,N,0,7.87,20220322,5,4,210,2,4,5,6,DC06,37,SLB,Adulto ...,7
100006,20150,3,8,1,10,80,1,9.97,7,9,P,N,,2015-01-16,80,1988-05-27,1,H,178,60,35,37,2022-03-29,30,86,D1,1,Resolución final para la solicitud 100006 del 2015-01-16,7,2015,1,S,S,326,N,0,5.69,20210224,1,8,40,9,39,13,5,DC05,27,SLV,No consta,9
100007,20140,3,12,3,4,20,6,12.53,12,7,A,S,1.0,2014-12-05,21,1970-08-08,1,H,175,52,53,55,2023-11-24,32,13,A2,2,Resolución final para la solicitud 100007 del 2014-12-05,7,2014,1,N,N,45,S,1,8.27,20230907,1,4,334,9,43,5,2,DC02,97,GAB,Senior,8
100008,20210,2,2,5,8,49,3,5.86,25,5,D,N,,2021-09-24,7,2006-03-31,2,M,226,48,9,19,2021-12-17,39,37,A1,1,Resolución final para la solicitud 100008 del 2021-09-24,7,2021,1,N,N,357,N,0,7.29,20201028,3,6,326,3,15,8,3,DC03,93,CHL,Joven a...,3
100009,20160,2,1,4,7,56,5,9.05,18,3,A,S,5.0,2016-12-01,35,1980-02-07,1,H,49,68,73,45,2022-03-15,5,36,A1,1,Resolución final para la solicitud 100009 del 2016-12-01,4,2016,1,S,N,405,S,1,10.05,20200317,5,1,279,1,2,11,1,DC01,60,RUS,Adulto ...,6
100010,20190,4,3,5,7,71,6,12.92,55,2,P,N,,2019-07-11,91,1978-06-05,2,M,341,76,64,47,2020-04-06,4,45,A1,1,Resolución final para la solicitud 100010 del 2019-07-11,3,2019,1,N,N,308,S,1,5.56,20210922,3,6,483,1,18,12,10,DC10,98,COL,Senior,8
